White,Black,Result,WhiteElo,BlackElo,TimeControl,Termination,FEN,WhiteTimes,BlackTimes
RuyLopez101,Serkan_76,0-1,1764,1972,300+0,Normal,rnbnqkrb/pppppppp/8/8/8/8/PPPPPPPP/RNBNQKRB w KQkq - 0 1,"[0, 1, 11, 11, 2, 4, 10, 2, 18, 13, 6, 2, 6, 10, 9, 15, 3, 10, 11, 32, 3, 2, 22, 5, 12, 7, 10, 15, 2, 2]","[0, 1, 2, 7, 1, 2, 2, 2, 1, 4, 7, 1, 33, 10, 12, 18, 4, 35, 8, 19, 2, 15, 15, 20, 1, 7, 3, 32, 24, 2]"
mimbechess,yuuruma,0-1,1975,1867,300+0,Normal,bnqbrkrn/pppppppp/8/8/8/8/PPPPPPPP/BNQBRKRN w KQkq - 0 1,"[0, 2, 6, 12, 5, 2, 26, 13, 11, 16, 4, 3, 7, 18, 2, 40, 0, 27, 5, 5, 2]","[0, 4, 2, 3, 3, 6, 4, 12, 4, 4, 5, 13, 6, 3, 4, 1, 5, 4, 27, 3, 3]"
Adelina2022Ya,Cherry_02102013,1-0,1496,913,300+3,Normal,brnbnkrq/pppppppp/8/8/8/8/PPPPPPPP/BRNBNKRQ w KQkq - 0 1,"[56, 4, 0, 4, 0, 7, 7, 3, 1, 1, 6, 8, 8, 0, 2, 0, 1, 0, 5, 3, 0, 12, 0, 3, 3, 6, 0, 3, 0, 0, 0, 3, 2, 1]","[0, 2, 0, 3, 2, 0, 0, 10, 4, 2, 0, 0, 0, 4, 0, 1, 0, 0, 0, 0, 5, 3, 1, 0, 6, 2, 1, 6, 11, 0, 2, 2, 8, 1, 1]"
Nikolay385,ShahmatRusakova,0-1,1203,1356,300+3,Normal,nnbrqbkr/pppppppp/8/8/8/8/PPPPPPPP/NNBRQBKR w KQkq - 0 1,"[0, 4, 0, 1, 6, 0, 0, 4, 0, 8, 0, 4, 5, 0, 0, 0, 5]","[0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 1, 1, 0, 0, 0]"
Dan_Shilov,SanechekSigma,0-1,1425,1542,300+3,Normal,rnqnbbkr/pppppppp/8/8/8/8/PPPPPPPP/RNQNBBKR w KQkq - 0 1,"[0, 4, 0, 3, 1, 8, 4, 4, 2, 0, 4, 5, 1, 0, 16, 0, 20, 10, 2, 11, 4, 1, 6, 3, 4, 4]","[0, 0, 6, 15, 2, 18, 6, 7, 5, 2, 1, 9, 1, 0, 2, 4, 24, 4, 21, 0, 15, 2, 0, 7, 9, 4]"
Lapa_Alex_2014,buntarik,1/2-1/2,1611,1903,300+3,Normal,rknnbrqb/pppppppp/8/8/8/8/PPPPPPPP/RKNNBRQB w KQkq - 0 1,"[0, 0, 4, 1, 0, 0, 17, 33, 12, 17, 3, 21, 24, 6, 15, 1, 0, 6, 4, 7, 1, 2, 4, 4, 0, 0, 4, 2, 1, 2, 6, 3, 18, 11, 0, 24, 3, 2, 2, 1, 0, 6, 0, 8, 0, 0, 0, 4, 1, 0, 5, 0, 2, 0, 3, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 3, 0, 5, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 9, 6, 10, 4, 2, 4, 0, 2, 23, 0, 0, 0, 1, 0, 0, 2, 0, 0, 4, 0, 3, 6, 0, 0, 16, 10, 6, 3, 5, 15, 0, 0, 14, 0, 2, 0, 28, 1, 0, 1, 1, 4, 5, 4, 6, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 6, 5, 0, 0, 1, 1, 0, 0]"
UralskKz,maria_oskolkova,1-0,2192,1452,300+3,Normal,rbbnnkqr/pppppppp/8/8/8/8/PPPPPPPP/RBBNNKQR w KQkq - 0 1,"[0, 3, 1, 0, 22, 0, 15, 6, 1, 0, 0]","[0, 0, 0, 0, 0, 3, 0, 23, 0, 0, 0, 1]"
ULTIMATE_PLAYER,hpapel,0-1,1469,1478,300+3,Normal,rbbnkrnq/pppppppp/8/8/8/8/PPPPPPPP/RBBNKRNQ w KQkq - 0 1,"[0, 1, 4, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 8, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0]","[0, 5, 2, 1, 0, 7, 0, 2, 3, 7, 2, 9, 3, 0, 0, 0, 0, 0, 2, 1, 3, 3, 8, 2, 2, 0, 0, 2, 0]"
MaguHel,Prist6,1-0,1813,1944,180+2,Normal,rqnknrbb/pppppppp/8/8/8/8/PPPPPPPP/RQNKNRBB w KQkq - 0 1,"[0, 0, 0, 0, 1, 0, 4, 1, 0, 0, 4, 0, 2, 1, 2, 5, 5, 1, 0, 3, 7, 0, 1, 2, 3]","[0, 1, 5, 0, 8, 0, 1, 0, 0, 0, 20, 7, 1, 0, 4, 23, 1, 4, 0, 19, 5, 1, 2, 12, 1, 5]"
achilovilhom1979,akobir_xudoyorov,1-0,1659,1920,300+2,Normal,bnrnkbqr/pppppppp/8/8/8/8/PPPPPPPP/BNRNKBQR w KQkq - 0 1,"[0, 1, 4, 3, 0, 2, 0, 0, 0, 0, 0, 5, 9, 2, 0, 3, 21, 5, 1, 1, 0, 0, 3, 7, 0, 3, 4, 0, 3, 1, 0, 6, 1, 2, 7, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 6, 0, 0, 2, 3, 3, 0, 1, 3, 8, 2, 0, 1, 2, 0, 0, 0, 6, 5, 1, 1, 0, 4, 0, 2, 4, 0, 3, 1, 2, 1, 6, 3, 0, 0, 0, 5, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
