Result,White,Black,WhiteElo,BlackElo,TimeControl,Termination,FEN,WhiteTimes,BlackTimes
1/2-1/2,Luaf,BillHimmel,1661,1640,180+2,Normal,rqnkbnrb/pppppppp/8/8/8/8/PPPPPPPP/RQNKBNRB w KQkq - 0 1,"[0, 0, 0, 1, 0, 5, 0, 0, 7, 0, 0, 2, 5, 0, 0, 64, 0, 2, 15, 5, 4, 14, 0, 0, 1, 3, 5, 2, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 3, 1, 0, 7, 7, 6, 0, 9, 14, 0, 0, 14, 20, 15, 22, 30, 19, 0, 3, 0, 1, 0, 0, 0, 0]"
1-0,Drkol,N5n7e9,1741,1734,300+3,Time forfeit,qnbbrknr/pppppppp/8/8/8/8/PPPPPPPP/QNBBRKNR w KQkq - 0 1,"[0, 0, 0, 0, 4, 0, 4, 0, 2, 1, 0, 0, 0, 0, 5, 30, 12, 8, 11, 36, 8, 0, 43, 26, 8, 2, 9, 4, 29, 0, 3, 22, 8, 0, 1, 10, 4, 7, 0]","[0, 1, 1, 4, 0, 4, 0, 4, 0, 2, 2, 3, 9, 20, 6, 14, 0, 0, 9, 8, 6, 34, 0, 1, 8, 0, 0, 10, 24, 0, 0, 38, 0, 5, 0, 12, 6, 9, 13, 0]"
0-1,Froschen,Lodkadgiev,1844,1794,180+0,Normal,nbnrbqkr/pppppppp/8/8/8/8/PPPPPPPP/NBNRBQKR w KQkq - 0 1,"[0, 3, 2, 3, 1, 7, 7, 2, 1, 0, 3, 3, 3, 4, 6, 4, 1, 13, 6, 4, 8, 4, 7, 9, 4, 1, 11, 0, 1, 2, 2, 2, 1, 1, 4, 0, 2, 2, 3, 1, 3, 5, 1, 2, 2, 2, 1, 0, 1, 2, 2, 0, 0, 0, 2, 2, 4, 2, 2, 1]","[0, 5, 2, 0, 7, 5, 3, 2, 11, 2, 1, 5, 18, 2, 4, 2, 1, 4, 2, 6, 0, 2, 4, 5, 1, 1, 2, 0, 7, 6, 0, 3, 1, 2, 0, 8, 0, 0, 0, 0, 1, 1, 1, 3, 4, 3, 1, 1, 2, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 2]"
0-1,Crazy_Casual,emadov777,1594,2028,180+0,Normal,rnnqbbkr/pppppppp/8/8/8/8/PPPPPPPP/RNNQBBKR w KQkq - 0 1,"[0, 3, 1, 1, 1, 2, 1, 3, 5, 3, 1, 2, 5, 1, 2, 2, 3, 3, 2, 8, 3, 2, 7, 2, 1, 10, 3, 1, 4, 4, 1, 2, 10, 2, 1]","[0, 2, 1, 1, 4, 3, 1, 5, 3, 2, 2, 4, 3, 3, 12, 1, 9, 1, 3, 2, 7, 5, 6, 8, 0, 1, 9, 1, 5, 2, 3, 11, 0, 3, 2]"
1-0,orvinn,Dimidrol818,1652,1650,300+0,Normal,nrnkbrqb/pppppppp/8/8/8/8/PPPPPPPP/NRNKBRQB w KQkq - 0 1,"[0, 6, 5, 5, 5, 10, 5, 4, 8, 10, 14, 14, 14, 18, 1, 2, 2, 7, 7, 1, 2, 12, 16, 8, 6, 4, 4, 3, 3, 0, 2]","[0, 1, 3, 4, 7, 4, 2, 2, 14, 2, 12, 14, 35, 9, 7, 12, 5, 12, 2, 5, 2, 20, 12, 5, 2, 3, 3, 2, 4, 5, 2]"
0-1,yuuruma,Aerfest,1871,1920,180+2,Normal,bbrknqnr/pppppppp/8/8/8/8/PPPPPPPP/BBRKNQNR w KQkq - 0 1,"[0, 4, 0, 2, 4, 2, 0, 1, 0, 5, 1, 8, 0, 40, 0, 12, 3, 2, 2, 0, 0, 2, 7, 9, 0, 4, 1, 0, 1, 1, 1, 0, 0, 0, 4, 0, 1, 0, 0, 0, 1, 1, 0, 1, 3, 3, 3]","[0, 2, 4, 6, 16, 0, 3, 6, 2, 17, 0, 2, 7, 53, 5, 3, 9, 16, 10, 0, 4, 0, 4, 4, 0, 7, 1, 1, 0, 0, 1, 0, 1, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 1]"
1-0,d4-Kf6,josefghng,2411,2172,180+0,Normal,nnbrkqrb/pppppppp/8/8/8/8/PPPPPPPP/NNBRKQRB w KQkq - 0 1,"[0, 2, 6, 3, 2, 10, 4, 12, 14, 11, 2, 2, 3, 3, 9, 9, 16, 13, 2, 7]","[0, 3, 1, 1, 4, 0, 3, 4, 1, 15, 3, 8, 0, 3, 1, 3, 4, 6, 0, 2, 2]"
0-1,LinoCl,Wethley_Tho,1670,1613,180+6,Normal,bnrkqnrb/pppppppp/8/8/8/8/PPPPPPPP/BNRKQNRB w KQkq - 0 1,"[0, 0, 2, 2, 0, 2, 16, 4, 0, 0, 6, 0, 2, 8, 0, 1]","[0, 0, 4, 0, 0, 0, 4, 0, 3, 3, 0, 0, 0, 6, 0, 0]"
1-0,mMGracz,OmerEkic,1962,2086,180+0,Normal,brnbkrnq/pppppppp/8/8/8/8/PPPPPPPP/BRNBKRNQ w KQkq - 0 1,"[0, 4, 1, 3, 3, 2, 1, 8, 5, 1, 7, 7, 8]","[0, 2, 1, 4, 2, 1, 2, 3, 6, 3, 7, 4, 2, 4]"
0-1,ThoughtPolice,INIGZ,1767,1779,180+0,Time forfeit,rqbbknnr/pppppppp/8/8/8/8/PPPPPPPP/RQBBKNNR w KQkq - 0 1,"[0, 2, 1, 1, 0, 1, 2, 0, 3, 2, 2, 1, 3, 2, 3, 4, 32, 5, 5, 3, 6, 33, 4, 3, 8, 7, 2, 3, 4, 1]","[0, 4, 1, 3, 3, 2, 2, 3, 3, 1, 6, 0, 1, 3, 2, 2, 14, 7, 3, 6, 23, 23, 5, 43, 5, 2, 5, 2, 2, 4]"
0-1,kOzna,luisitov,1640,1675,300+3,Normal,rknbrnbq/pppppppp/8/8/8/8/PPPPPPPP/RKNBRNBQ w KQkq - 0 1,"[0, 0, 0, 0, 2, 4, 4, 0, 6, 0, 0, 0, 0, 13, 0, 9, 1, 16, 2, 29, 0, 14, 2, 23, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 0, 5, 2, 1, 8, 2, 10, 10, 0, 6, 0, 1, 5, 0, 3, 1]"
1-0,velikolepnii-gosha,Bole1981,1713,1781,180+2,Normal,bbrkqnnr/pppppppp/8/8/8/8/PPPPPPPP/BBRKQNNR w KQkq - 0 1,"[0, 14, 1, 0, 0, 0, 10, 5, 0, 1, 10, 0, 11, 2, 0, 11, 2, 5, 0, 45, 16, 1, 0, 0, 1, 0, 1, 3, 3, 6, 1, 5, 3]","[0, 0, 0, 9, 13, 0, 23, 17, 1, 19, 2, 6, 18, 36, 14, 1, 0, 1, 4, 2, 1, 0, 0, 0, 0, 2, 0, 2, 0, 0, 0, 6, 0]"
1-0,IgorKh77,Kd-2001,1883,1693,180+0,Time forfeit,rnkqbnrb/pppppppp/8/8/8/8/PPPPPPPP/RNKQBNRB w KQkq - 0 1,"[0, 1, 0, 5, 13, 1, 3, 8, 7, 2, 5, 3, 8, 5, 19, 4, 5, 7, 2, 2, 3, 3, 3, 5, 5, 2, 2, 1, 2, 4, 1, 2, 1, 3, 3, 3, 7, 13, 4, 12, 1]","[0, 1, 4, 1, 3, 6, 20, 1, 2, 7, 2, 3, 7, 2, 2, 6, 3, 9, 3, 2, 2, 7, 2, 4, 1, 2, 2, 1, 1, 0, 1, 1, 0, 1, 1, 3, 3, 1, 4, 1, 2, 3]"
